Team,FirstMatchID
RNG,22708
IM,22708
IG,22709
OMG,22709
WE,22710
NB,22710
EDG,22711
RA,22711
LGD,22712
LNG,22713
GT,22715
JDG,22715
HLE,22810
KT,22810
DRX,22811
GEN,22811
JAG,22812
T1,22812
MVP,22813
BBQ,22813
KDF,22814
KDM,22815
TSM,23057
C9,23057
FOX,23058
P1,23058
CLG,23059
TL,23059
NV,23064
FLY,23064
IMT,23065
ING,23186
YM,23186
Tyloo,23187
MAX,23187
OMD,23188
ME,23188
JDM,23189
LD,23189
RYL,23190
WBG,23190
DAN,23191
SAT,23191
AST,23449
H2K,23449
G2,23450
FNC,23450
MSF,23451
GIA,23451
UOL,23452
VIT,23452
ROC,23453
MDK,23454
AHQ,23558
FW,23558
HKA,23559
FB,23559
JT,23560
MCX,23560
XG,23561
Spider,23561
WS,23634
M19,25578
VK,25932
PNG,25932
ITZ,25933
CNB,25933
OPK,25934
KBM,25934
REM,25935
RED,25935
GMB,26099
NAVI,26099
JSA,26101
VS,26103
VP,26104
RoX,26104
VEG,26106
XTN,27304
IFG,27304
JTH,27305
R7,27305
D9,27306
INF,27306
ZTG,27307
Gaming Gaming,27307
ISG,27412
HAF,27412
FG,27413
RBT,27413
Last Kings,27414
KLG,27414
DW,27863
CHF,27863
X5,27864
TM,27864
AE,27865
SIN,27865
LGC,27866
AV,27866
SMB,28083
DP,28083
GS,28084
CEC,28084
GAL,28085
IW,28086
AUR,28086
EEW,28173
CJE,28174
PGM,28240
GAM,28244
LYB,28607
TR,28607
FTS,28609
KLH,28613
YG,30102
RT,30104
MSC,30106
FFFD,30108
PRW,30111
DIG,30391
MM,30516
NIP,30517
GRX,30658
EDGY,30903
TH,30907
S04,33723
ONE,36076
YG(VN),36082
LCS,37846
巴西,37846
LCK,37847
LEC,37847
土耳其,37849
LMS,37849
LPL,37850
GPL,37853
100,38154
OPT,38154
CG,38155
GG,38155
TES,38312
AL,38315
B8,38317
FPX,38317
BLG,38329
BYU,38330
MAD Team,39378
AFR,39381
TSG,40064
WBGY,40065
LGDY,40066
Unlimited Potential,40066
KM,40067
SYX,40093
ALY,40093
QNG,40094
LZQ,40094
SG,40095
SHEINOO,40095
VSGaming,40120
TT,40121
LX,40122
BJO,40122
VC,40123
OnlyGame,40123
VTG,40148
TESC,40150
SC,40150
CQG,40151
TRG,40151
GRF,41432
ASC,41511
EVS,41534
bbq,42632
VRG,43326
LPY,43328
VT,43355
SHG,43355
OY,43382
DKL,43383
WD,43409
DFM,45084
VKE,45102
DWT,47560
DG,47560
DK,47615
SK,47723
XL,47724
RGE,47729
FPB,51659
BLGJ,51660
JJH,51660
LGE,51661
TTY,51664
TP,51664
IGY,51665
SDX,51666
LNGA,51668
WEA,51669
RAP,51676
BMR,53567
MG,53587
MEC,57096
RY,57100
FLA,57102
TS,57103
Mlxg队,57775
Tian队,57775
传奇红队,57790
传奇蓝队,57790
UP,58515
SP,58776
EG,60196
UPA,62224
TO,62226
AC,62229
NS,62841
SRB,62842
PSG,66323
V3,66327
BRO,66946
DYU,67046
HMG,67048
CMG,67069
LYA,67072
12,67646
KSG,67652
LLL,67966
RNS,67967
FUR,67967
NMG,67969
LBR,67970
RJ,68171
CGA,68175
BC,68175
AXZ,68176
TW,68226
CES,68226
SE,68227
SKY,68227
TF,68229
AK,68282
EST,68284
5R,68344
NSR,68346
BJK,68349
DA,68583
OBG,68583
CC,68584
CPT,68585
BJD,68639
BME,68641
IMP,68643
BYG,68646
PGG,69156
GRV,69158
ORD,69158
PCE,69159
BSG,72531
SPG,72859
DYD,72862
BTM,72866
BMX,72872
HLE.C,76009
KT.C,76009
DRX.C,76010
WPE.PH,76010
LSB.C,76011
DKJH,76011
DK.C,76012
HKF,76012
NS.C,76013
SBT,76013
BRO.C,76014
GEN.C,76015
SEK,76015
AF.C,76016
BDS,77198
KNG,77493
AZE,79253
CFO,81927
MOJ,82364
NRG,83864
EQX,84558
RST,84575
MJ,84576
BUG,84584
